external_id,name,description,category,price,old_price,stock,image,rating,review_count,is_new,active
LAP-000461,Lenovo IdeaPad Slim 3 82H802XVIN Laptop,Lenovo IdeaPad Slim 3 82H802XVIN Laptop laptop,LAPTOP,37100.0,,10,,0.0,0,False,True
LAP-000462,Acer Chromebook Enterprise Spin 513 R841LT-S6DJ Laptop,Acer Chromebook Enterprise Spin 513 R841LT-S6DJ Laptop laptop,LAPTOP,47990.0,,10,,0.0,0,False,True
LAP-000463,Lenovo ThinkPad E14 Gen 2 20TAS08F00 Laptop,Lenovo ThinkPad E14 Gen 2 20TAS08F00 Laptop laptop,LAPTOP,76890.0,,10,,0.0,0,False,True
LAP-000464,Dell Inspiron 3520 D560878WIN9S Laptop,Dell Inspiron 3520 D560878WIN9S Laptop laptop,LAPTOP,64490.0,,10,,0.0,0,False,True
LAP-000465,Asus Vivobook 14 OLED UX3402ZA-KN731WS Laptop,Asus Vivobook 14 OLED UX3402ZA-KN731WS Laptop laptop,LAPTOP,108990.0,,10,,0.0,0,False,True
LAP-000466,Lenovo Ideapad Slim 3 81WB01FYIN Laptop,Lenovo Ideapad Slim 3 81WB01FYIN Laptop laptop,LAPTOP,33990.0,,10,,0.0,0,False,True
LAP-000467,Dell Inspiron 3525 D560863WIN9B Laptop,Dell Inspiron 3525 D560863WIN9B Laptop laptop,LAPTOP,51490.0,,10,,0.0,0,False,True
LAP-000468,Lenovo Thinkpad E14 Gen 2 20TAS0Y800 Laptop,Lenovo Thinkpad E14 Gen 2 20TAS0Y800 Laptop laptop,LAPTOP,72990.0,,10,,0.0,0,False,True
LAP-000469,Asus TUF Gaming F15 FX506LHB-HN358W Gaming Laptop,Asus TUF Gaming F15 FX506LHB-HN358W Gaming Laptop laptop,LAPTOP,54990.0,,10,,0.0,0,False,True
LAP-000470,MSI Stealth 17M A12UE Gaming Laptop,MSI Stealth 17M A12UE Gaming Laptop laptop,LAPTOP,149990.0,,10,,0.0,0,False,True
LAP-000471,MSI Modern 15 A5M-055IN Laptop,MSI Modern 15 A5M-055IN Laptop laptop,LAPTOP,57990.0,,10,,0.0,0,False,True
LAP-000472,Lenovo Thinkpad E14 Gen 2 20TAS0E800 Laptop,Lenovo Thinkpad E14 Gen 2 20TAS0E800 Laptop laptop,LAPTOP,77500.0,,10,,0.0,0,False,True
LAP-000473,Dell Vostro 3420 D552278WIN9S Laptop,Dell Vostro 3420 D552278WIN9S Laptop laptop,LAPTOP,47000.0,,10,,0.0,0,False,True
LAP-000474,Lenovo ‎ThinkPad E14 Gen 4 Laptop,Lenovo ‎ThinkPad E14 Gen 4 Laptop laptop,LAPTOP,74500.0,,10,,0.0,0,False,True
LAP-000475,Dell Alienware X17 R1 D569936WIN9 Gaming Laptop,Dell Alienware X17 R1 D569936WIN9 Gaming Laptop laptop,LAPTOP,312199.0,,10,,0.0,0,False,True
LAP-000476,Lenovo V15 82KBA02UIH Laptop,Lenovo V15 82KBA02UIH Laptop laptop,LAPTOP,36990.0,,10,,0.0,0,False,True
LAP-000477,Lenovo Thinkpad P15v 21D8S00V00 Laptop,Lenovo Thinkpad P15v 21D8S00V00 Laptop laptop,LAPTOP,190400.0,,10,,0.0,0,False,True
LAP-000478,Microsoft Surface Laptop 5 ‎RBG-00048 13.5 inch,Microsoft Surface Laptop 5 ‎RBG-00048 13.5 inch laptop,LAPTOP,178999.0,,10,,0.0,0,False,True
LAP-000479,Microsoft Surface Pro 9 ‎QIL-00031 Laptop,Microsoft Surface Pro 9 ‎QIL-00031 Laptop laptop,LAPTOP,167999.0,,10,,0.0,0,False,True
LAP-000480,Microsoft Surface Pro 9 ‎‎QIX-00031 Laptop,Microsoft Surface Pro 9 ‎‎QIX-00031 Laptop laptop,LAPTOP,192990.0,,10,,0.0,0,False,True
LAP-000481,Microsoft Surface Laptop 5 ‎RIP-00048 15 inch,Microsoft Surface Laptop 5 ‎RIP-00048 15 inch laptop,LAPTOP,182990.0,,10,,0.0,0,False,True
LAP-000482,Dell Inspiron 14 5415 Laptop,Dell Inspiron 14 5415 Laptop laptop,LAPTOP,55999.0,,10,,0.0,0,False,True
LAP-000483,Lenovo Legion 5 Pro 82RF00E1IN Gaming Laptop,Lenovo Legion 5 Pro 82RF00E1IN Gaming Laptop laptop,LAPTOP,218000.0,,10,,0.0,0,False,True
LAP-000484,Lenovo Ideapad Slim 3 81WE01QSIN Laptop,Lenovo Ideapad Slim 3 81WE01QSIN Laptop laptop,LAPTOP,29990.0,,10,,0.0,0,False,True
LAP-000485,Acer Aspire 3 A315-58 Laptop,Acer Aspire 3 A315-58 Laptop laptop,LAPTOP,49312.0,,10,,0.0,0,False,True
LAP-000486,Asus E410 Eeebook E410KA-BV003W Laptop,Asus E410 Eeebook E410KA-BV003W Laptop laptop,LAPTOP,24415.0,,10,,0.0,0,False,True
LAP-000487,Asus Vivobook 15 2022 X1502ZA-EJ515WS Laptop,Asus Vivobook 15 2022 X1502ZA-EJ515WS Laptop laptop,LAPTOP,56990.0,,10,,0.0,0,False,True
LAP-000488,Lenovo Thinkbook 14 20VD011EIH Laptop,Lenovo Thinkbook 14 20VD011EIH Laptop laptop,LAPTOP,103600.0,,10,,0.0,0,False,True
LAP-000489,Acer Swift 3 SF314-43 Laptop,Acer Swift 3 SF314-43 Laptop laptop,LAPTOP,61500.0,,10,,0.0,0,False,True
LAP-000490,Lenovo V15 G2-ITL 82KBA034IH Laptop,Lenovo V15 G2-ITL 82KBA034IH Laptop laptop,LAPTOP,34499.0,,10,,0.0,0,False,True
LAP-000491,Dell XPS 9315 Laptop,Dell XPS 9315 Laptop laptop,LAPTOP,185800.0,,10,,0.0,0,False,True
LAP-000492,Dell Inspiron 5415 Laptop,Dell Inspiron 5415 Laptop laptop,LAPTOP,89976.0,,10,,0.0,0,False,True
LAP-000493,HP Victus 16-e0550AX Gaming Laptop,HP Victus 16-e0550AX Gaming Laptop laptop,LAPTOP,68990.0,,10,,0.0,0,False,True
LAP-000494,Asus VivoBook 14 X415MA-BV102WS Laptop,Asus VivoBook 14 X415MA-BV102WS Laptop laptop,LAPTOP,27990.0,,10,,0.0,0,False,True
LAP-000495,Asus VivoBook 15 2022 X515JA-EJ592WS Laptop,Asus VivoBook 15 2022 X515JA-EJ592WS Laptop laptop,LAPTOP,44990.0,,10,,0.0,0,False,True
LAP-000496,Dell Inspiron 3520 Laptop,Dell Inspiron 3520 Laptop laptop,LAPTOP,66111.0,,10,,0.0,0,False,True
LAP-000497,Dell G15-5520 D560895WIN9S Laptop,Dell G15-5520 D560895WIN9S Laptop laptop,LAPTOP,124400.0,,10,,0.0,0,False,True
LAP-000498,Acer One 14 Z2-493 UN.431SI.129 Laptop,Acer One 14 Z2-493 UN.431SI.129 Laptop laptop,LAPTOP,39999.0,,10,,0.0,0,False,True
LAP-000499,HP 15s-fq2670TU Laptop,HP 15s-fq2670TU Laptop laptop,LAPTOP,37490.0,,10,,0.0,0,False,True
LAP-000500,Asus VivoBook 15 X515JA-EJ392WS Laptop,Asus VivoBook 15 X515JA-EJ392WS Laptop laptop,LAPTOP,34490.0,,10,,0.0,0,False,True
LAP-000501,Lenovo IdeaPad Slim 3 82RK007JIN Laptop,Lenovo IdeaPad Slim 3 82RK007JIN Laptop laptop,LAPTOP,45500.0,,10,,0.0,0,False,True
LAP-000502,Acer Chromebook 311 C733 Laptop,Acer Chromebook 311 C733 Laptop laptop,LAPTOP,18490.0,,10,,0.0,0,False,True
LAP-000503,Dell Latitude 7420 Laptop,Dell Latitude 7420 Laptop laptop,LAPTOP,112500.0,,10,,0.0,0,False,True
