external_id,brand,processor,ram,ssd,hard_disk,operating_system,graphics,screen_size,resolution
LAP-000442,Acer,12th Gen Core i5,8,512,0,Windows,Intel Iris Xe Graphic,15.6,1920x1080
LAP-000443,Lenovo,11th Gen Core i5,16,512,0,Windows,Intel UHD Graphics,15.6,1920x1080
LAP-000444,Gigabyte,12th Gen Core i5,16,512,0,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,1920x1080
LAP-000445,Gigabyte,12th Gen Core i5,16,512,0,Windows,4 GB NVIDIA GeForce RTX 3050 TI,15.6,1920x1080
LAP-000446,Gigabyte,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920x1080
LAP-000447,Dell,12th Gen Core i5,8,512,0,Windows,Intel Integrated UHD,14.0,1920x1080
LAP-000448,Lenovo,12th Gen Core i7,16,512,0,Windows,Intel Iris Xe Graphics,13.3,1920x1200
LAP-000449,Acer,AMD Ryzen 5 5600H,16,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920x1080
LAP-000450,Acer,AMD Ryzen 5 5600H,8,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920x1080
LAP-000451,Acer,AMD Ryzen 5 5600H,16,512,0,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920x1080
LAP-000452,HP,12th Gen Core i5,8,512,0,Windows,Intel Iris Xe Graphics,13.3,1920x1200
LAP-000453,HP,11th Gen Core i3,8,512,0,Windows,Intel Integrated,14.0,1366x768
LAP-000454,Lenovo,10th Gen Core i3,4,256,0,Windows,Intel Integrated UHD,15.6,1920x1080
LAP-000455,Lenovo,11th Gen Core i7,16,512,0,Windows,2 GB NVIDIA MX450,14.0,1920x1080
LAP-000456,HP,12th Gen Core i5,8,512,0,Windows,Intel Integrated Iris Xe,14.0,1920x1080
LAP-000457,Asus,Celeron N4500,4,256,0,Windows,Intel UHD Graphics,14.0,1920x1080
LAP-000458,HP,intel Core i3,8,512,0,Windows,Intel Integrated,14.0,1366x768
LAP-000459,Lenovo,Ryzen 7 5700U,16,512,0,Windows,AMD Raedon Graphics,14.0,1920x1080
LAP-000460,Lenovo,11th Gen Core i3,8,256,0,Windows,Intel Integrated UHD,14.0,1920x1080
LAP-000461,Lenovo,11th Gen Core i3,8,256,0,Windows,Intel UHD Graphics,15.6,1920x1080
LAP-000462,Acer,Snapdragon 7c,4,0,128,Chrome,Qualcomm Adreno 618,13.3,1920x1080
LAP-000463,Lenovo,11th Gen Core i5,8,512,0,Windows,Intel UHD,14.1,1920x1080
LAP-000464,Dell,12th Gen Core i5,8,512,0,Windows,Intel Integrated Integrated,15.6,1920x1080
LAP-000465,Asus,12th Gen Core i7,16,512,0,Windows,Intel Iris Xe,14.0,2880x1800
LAP-000466,Lenovo,10th Gen Core i3,8,256,0,Windows,Intel Integrated,15.6,1920x1080
LAP-000467,Dell,AMD Ryzen 5 5625U,8,512,0,Windows,AMD Radeon Radeon,15.6,1920x1080
LAP-000468,Lenovo,11th Gen Core i5,8,512,0,DOS,Intel UHD,14.1,1920x1080
LAP-000469,Asus,10th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920x1080
LAP-000470,MSI,12th Gen Core i7,16,1000,0,Windows,6 GB NVIDIA GeForce RTX 3060,17.3,1920x1080
LAP-000471,MSI,Ryzen 5 5500U,8,512,0,Windows,AMD Radeon Graphics,15.6,1920x1080
LAP-000472,Lenovo,11th Gen Core i5,16,512,0,Windows,Intel Iris Xe Graphics,14.0,1080x1920
LAP-000473,Dell,11th Gen Core i3,8,512,0,Windows,Intel Integrated,14.0,1920x1080
LAP-000474,Lenovo,12th Gen Core i5,8,512,0,Windows,Intel Iris Xe,14.0,1920x1080
LAP-000475,Dell,11th Gen Core i9,32,1000,0,Windows,16 GB NVIDIA GEFORCE RTX 3080,17.3,1920x1080
LAP-000476,Lenovo,11th Gen Core i3,8,256,0,Windows,Intel Integrated UHD,15.6,1920x1080
LAP-000477,Lenovo,12th Gen Core i7,32,1000,0,Windows,4 GB Nvidia Quadro T1200,15.6,1920x1080
